CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,CO_PROVA
46,CH,111894,B,2.21881,1.10809,0.13721,507
47,CH,118054,A,2.07127,1.3472,0.07736,507
48,CH,118067,C,,,,507
49,CH,66498,C,1.31749,0.44063,0.18259,507
50,CH,86751,C,3.45284,1.65017,0.09484,507
51,CH,83820,B,2.24266,0.19945,0.14787,507
52,CH,77940,A,1.69265,-0.16281,0.19993,507
53,CH,118034,B,2.89911,0.93429,0.16213,507
54,CH,84888,B,2.3107,1.45829,0.17477,507
55,CH,88233,A,1.39689,1.31818,0.11442,507
56,CH,86934,D,0.61655,1.00168,0.04145,507
57,CH,118158,C,2.22546,0.46653,0.15939,507
58,CH,88306,B,1.78628,1.34891,0.18079,507
59,CH,118033,C,3.33353,0.6595,0.32563,507
60,CH,84769,E,2.20133,1.01836,0.12996,507
61,CH,118022,E,3.17381,0.77149,0.09188,507
62,CH,111844,E,2.33881,0.22143,0.04965,507
63,CH,33960,B,3.73216,1.13742,0.16303,507
64,CH,78903,C,1.5682,-0.25115,0.00814,507
65,CH,97975,A,1.45676,1.3618,0.21595,507
66,CH,118108,C,2.80224,0.44492,0.21353,507
67,CH,66219,A,1.471,1.73902,0.23765,507
68,CH,111877,C,2.54319,0.68737,0.16087,507
69,CH,88194,E,1.35668,1.69195,0.10234,507
70,CH,118125,E,1.14176,0.61713,0.00161,507
71,CH,87057,D,1.22262,0.2453,0.17471,507
72,CH,85139,B,2.89534,0.60872,0.22906,507
73,CH,88308,C,1.40104,1.15692,0.09673,507
74,CH,87709,C,2.06585,1.48052,0.17341,507
75,CH,112135,A,2.05925,0.34452,0.21848,507
76,CH,81689,D,2.34674,1.87883,0.11625,507
77,CH,118029,B,2.63717,1.07054,0.22582,507
78,CH,118024,E,2.44871,1.81367,0.12029,507
79,CH,97013,A,0.73411,1.20733,0.01008,507
80,CH,11601,D,1.20499,0.975,0.146,507
81,CH,89147,B,3.04427,1.36609,0.23176,507
82,CH,84811,A,2.78428,0.48121,0.18255,507
83,CH,96447,D,3.56414,0.51626,0.13663,507
84,CH,96302,B,1.13705,0.24894,0.00655,507
85,CH,111820,B,1.43499,2.25728,0.06711,507
86,CH,96596,B,1.69675,2.03032,0.19839,507
87,CH,84147,A,2.067,0.32546,0.20034,507
88,CH,95648,C,2.21046,1.12907,0.18621,507
89,CH,118038,D,3.49023,1.02573,0.18725,507
90,CH,76955,B,,,,507
